player,jersey,nationality,full name
Casillas,1,Spain,Iker Casillas
Salgado,2,Spain,Michel Salgado
Carlos,3,Brasil,Roberto Carlos
Hierro,4,Spain,Fernando Hierro
Helguera,6,Spain,Ivan Helguera
Zidane,5,France,Zinedine Zidane
Figo,10,Portugal,Luis Figo
Makelele,24,France,Claude Makelele
Guti,14,Spain,Jose Maria Gutierrez
Raul,7,Spain,Raul Gonzales Blanco
Morientes,9,Spain,Fernando Morientes
